as_of_date,twitter_id,first_name,middle_name,last_name,dob,party,position,country,information_source
2021-05-23,23352383,David,Breen,Seymour,1983-06-24,ACT,Member of Privileges and Officers of Parliment,New Zealand,https://www.wikiwand.com/en/David_Seymour_(New_Zealand_politician)
2021-05-23,229711860,Chloe,Charlotte,Swarbrick,1994-06-26,Green,Member of Finance and Expenditure,New Zealand,https://www.wikiwand.com/en/Chl%C3%B6e_Swarbrick
2021-05-23,31583101,James,Peter Edward,Shaw,1973-05-06,Green,Minister of Climate Change and Associate Minister of Environment,New Zealand,https://www.wikiwand.com/en/James_Shaw_(New_Zealand_politician)
2021-05-23,147406561,Marama,Mere-Ana,Davidson,1905-05-26,Green,Associate Minister of Housing (Homelessness) and Minister of Prevention of Family and Sexual Violence,New Zealand,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/davidson-marama/
2021-05-23,7.45599511960052E+017,Ricardo,Menendez,March,,Green,Member of Social Services and Community,New Zealand,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/men%C3%A9ndez-march-ricardo/
2021-05-23,22959763,Jacinda,Kate Laurell,Ardern,1980-07-26,Labour,Prime Minister,New Zealand,https://www.wikiwand.com/en/Jacinda_Ardern
2021-05-23,368842056,Andrew,James,Little,1965-05-07,Labour,"Minister of Health, GCSB, NZSIS, Pike River Re-entry and Treaty of Waitangi Negotiations",New Zealand,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/little-andrew/
2021-05-23,25754056,Christopher,John,Hipkins,1978-09-05,Labour,Leader of the House,New Zealand,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/hipkins-chris/
2021-05-23,24149001,Grant,Murray,Robertson,1971-09-30,Labour,Deputy Prime Minister,New Zealand,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/robertson-grant/
2021-05-23,292220830,Nanaia,Cybele,Mahuta,1970-08-21,Labour,Minister of Foreign Affairs and Local Government and Associate Minister of Maori Development,New Zealand,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/mahuta-nanaia/
2021-05-23,38778433,Tamati,Gerald,Coffey,1979-09-19,Labour,Member of Environment and Chairperson of Maori Affairs,New Zealand,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/coffey-tamati/
2021-05-23,1180370792,Simon,Joseph,Bridges,1976-10-12,National,Member of Justice,New Zealand,https://www.wikiwand.com/en/Simon_Bridges
2021-05-23,756227808,Judith,Anne,Collins,1959-02-24,National,Leader of the Opposition,New Zealand,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/collins-judith/
2021-05-23,2543108298,Todd,Michael,Muller,1968-12-23,National,Member of Maori Affairs,New Zealand,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/muller-todd/
2021-05-23,2419904468,Rawiri,Wikuki,Waititi,1905-06-02,Te Paati Maori,Member of Maori Affairs,New Zealand,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/waititi-rawiri/
2021-05-23,25960714,Adam,Paul,Bandt,1972-03-11,Green,Leader of the Australian Greens,Australia,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=M3C
2021-05-23,2186207924,Jacqui,Louise,Lambie,1971-02-26,Jacqui Lambie Network,,Australia,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=250026
2021-05-23,254515782,Anthony,Norman,Albanese,1963-03-02,Labor,Leader of the Opposition,Australia,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=R36
2021-05-23,137198586,Bill,Richard,Shorten,1967-05-12,Labor,,Australia,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00ATG
2021-05-23,9.54263782070485E+017,Patrick,Lionel Djargun,Dodson,1948-01-29,Labor,,Australia,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=SR5
2021-05-23,529147678,Penny,Ying-Yen,Wong,1968-11-05,Labor,,Australia,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AOU
2021-05-23,307755781,Tanya,Joan,Plibersek,1969-12-02,Labor,,Australia,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=83M
2021-05-23,1559788717,Christian,Charles,Porter,1970-07-11,Liberal,,Australia,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=208884
2021-05-23,60483082,Greg,Andrew,Hunt,1965-11-18,Liberal,Minister for Health and Aged Care,Australia,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AMV
2021-05-23,63942152,Joshua,Anthony,Frydenberg,1971-07-17,Liberal,Treasurer,Australia,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=FKL
2021-05-23,2300779218,Marise,Ann,Payne,1964-07-29,Liberal,Minister of Foreign Affairs and Women,Australia,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=M56
2021-05-23,20559705,Peter,Craig,Dutton,1970-11-18,Liberal,Minister for Defence,Australia,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AKI
2021-05-23,34116377,Scott,John,Morrison,1968-05-13,Liberal,Prime Minister,Australia,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=E3L
2021-05-23,274249799,Michaelia,Clare,Cash,1970-07-19,Liberal,Attorney-General and Minister for Industrial Relations,Australia,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=I0M
2021-05-23,1471232930,Pauline,Lee,Hanson,1954-05-27,One Nation,Deputy Chair of Joint Select Committee on Australia’s Family Law System,Australia,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=BK6
